"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/3319-darkwing-duck","Darkwing Duck","2","78","7.6","https://image.tmdb.org/t/p/w400/1gJMSXS0gwM8gDJnzVSITcxbQc.jpg"
"https://seriesgraph.com/show/2566-dead-like-me","Dead Like Me","2","15","8.1","https://image.tmdb.org/t/p/w400/92pJimSg6exk0Dt5u5XB1O5DZtz.jpg"
"https://seriesgraph.com/show/81357-dead-to-me","Dead to Me","3","10","7.9","https://image.tmdb.org/t/p/w400/mAj18PHeACxqcrEus4pD8pksRmB.jpg"
"https://seriesgraph.com/show/51704-defiance","Defiance","3","13","7.0","https://image.tmdb.org/t/p/w400/4Xo2D2MX8v4FoHi70Y9jEghJGUI.jpg"
"https://seriesgraph.com/show/206164-dejmonos-de-vargas","Dejémonos de Vargas","","74","6.3","https://image.tmdb.org/t/p/w400/d0bthLld2QnL0qAoeSkfDa639pz.jpg"
"https://seriesgraph.com/show/65143-descendants-of-the-sun","Descendants of the Sun","","19","8.2","https://image.tmdb.org/t/p/w400/s1zXuYyMMrgpet6BBrMqGlHnvc8.jpg"
"https://seriesgraph.com/show/235930-devil-may-cry","Devil May Cry","2","8","7.4","https://image.tmdb.org/t/p/w400/mX9tqfpjqwreONJHhap7SnSSowe.jpg"
"https://seriesgraph.com/show/75208-devilman-crybaby","Devilman Crybaby","1","10","7.6","https://image.tmdb.org/t/p/w400/2pQ9xfgDa3L3QpoXfkNhISby2R4.jpg"
"https://seriesgraph.com/show/219937-dexter-original-sin","Dexter: Original Sin","1","10","8.2","https://image.tmdb.org/t/p/w400/j5bP7spdfS0NpDLKDlqJYyJPi1j.jpg"
"https://seriesgraph.com/show/89901-dickinson","Dickinson","3","10","7.6","https://image.tmdb.org/t/p/w400/dDdcAfHBZ6Aalv53iR6o35CSLWA.jpg"
"https://seriesgraph.com/show/302463-dinasta-casillas","Dinastía Casillas","","92","8.4","https://image.tmdb.org/t/p/w400/5xFzmTTC4ITaFkiwzohTK1UUNX3.jpg"
"https://seriesgraph.com/show/12568-distilling-love","Distilling Love","","170","6.6","https://image.tmdb.org/t/p/w400/L3MPoQSvfbHZAJEdskXTM1vdHi.jpg"
"https://seriesgraph.com/show/14956-dollhouse","Dollhouse","2","13","7.7","https://image.tmdb.org/t/p/w400/oq5WPzUn7R0YcIk7QGwpXqvgSWO.jpg"
"https://seriesgraph.com/show/5459-dont-mess-with-the-angel","Don't Mess with the Angel","","194","6.6","https://image.tmdb.org/t/p/w400/8lVsyvIfxEDYUfZTZ3weIwQCu6j.jpg"
"https://seriesgraph.com/show/39331-dont-trust-the-b-in-apartment-23","Don't Trust the B---- in Apartment 23","2","19","7.3","https://image.tmdb.org/t/p/w400/ice3QRGMPs7JpwV8Fb8BpfWtYxP.jpg"
"https://seriesgraph.com/show/83100-dororo","Dororo","","24","8.2","https://image.tmdb.org/t/p/w400/2qSzgSE80OFrfgg5UFYbATdCQ6t.jpg"
